room_temperature(K),298.15
water_volume(mL),500.0
solute_molarmass(g/mol),74.551
solute_mass(g),5.0000
R1(Omega),10.00
R2(Omega),10.00
t1(s),309.730
t2(s),575.890
current(A),1.00
time(s),Delta_T(K)
0.112,0.001
0.803,0.001
1.434,0.001
2.208,0.002
2.839,0.001
3.611,0.002
4.325,0.002
5.016,0.002
5.648,0.002
6.421,0.002
7.052,0.002
7.824,0.002
8.457,0.002
9.229,0.002
9.861,0.002
10.633,0.003
11.265,0.003
12.038,0.003
12.669,0.003
13.441,0.004
14.155,0.004
14.845,0.003
15.477,0.003
16.250,0.003
16.882,0.003
17.654,0.003
18.286,0.004
19.058,0.004
19.772,0.003
20.463,0.004
21.094,0.004
21.867,0.004
22.499,0.004
23.270,0.004
23.904,0.004
24.675,0.005
25.389,0.005
26.080,0.005
26.793,0.005
27.484,0.004
28.116,0.005
28.888,0.005
29.520,0.005
30.292,0.005
31.006,0.005
31.696,0.005
32.411,0.005
33.100,0.005
33.815,0.006
34.505,0.006
35.218,0.005
35.908,0.006
36.541,0.005
37.313,0.006
37.945,0.005
38.718,0.006
39.349,0.006
40.121,0.006
40.754,0.006
41.526,0.006
42.157,0.006
42.930,0.007
43.644,0.007
44.333,0.007
45.048,0.006
45.739,0.006
46.452,0.007
47.143,0.007
47.775,0.007
48.546,0.008
49.179,0.007
49.951,0.007
50.582,0.007
51.356,0.008
51.987,0.007
52.760,0.007
53.391,0.008
54.163,0.008
54.878,0.008
55.569,0.008
56.282,0.008
56.973,0.008
57.604,0.008
58.376,0.008
59.009,0.008
59.781,0.008
60.495,0.008
61.186,0.008
61.817,0.009
62.589,0.009
63.303,0.008
63.993,0.008
64.707,0.009
65.398,0.009
66.030,0.009
66.801,0.009
67.516,0.009
68.206,0.010
68.920,0.009
69.610,0.009
70.324,0.010
71.014,0.009
71.729,0.010
72.419,0.009
73.133,0.009
73.823,0.009
74.537,0.010
75.227,0.010
75.941,0.010
76.631,0.010
77.345,0.010
